,Date,AveragePrice,TotalValue,c4046,c4225,c4770,TotalBags,SmallBags,LargeBags,XLargeBags,type,year,region
25,05-07-2015,1.35,109252.0,869.45,72600.5,5883.16,29899.0,29663.2,235.77,0.0,Conventional,2015,Albany
26,28-06-2015,1.37,89534.8,664.23,57545.8,4662.71,26662.1,26311.8,350.32,0.0,Conventional,2015,Albany
27,21-06-2015,1.27,104849.0,804.01,76688.5,5481.18,21875.7,21662.0,213.65,0.0,Conventional,2015,Albany
28,14-06-2015,1.32,89631.3,850.58,55400.9,4377.19,29002.6,28343.1,659.45,0.0,Conventional,2015,Albany
29,07-06-2015,1.07,122743.0,656.71,99220.8,90.32,22775.2,22315.0,460.22,0.0,Conventional,2015,Albany
30,31-05-2015,1.23,95123.6,922.37,70469.7,50.55,23681.0,23222.5,458.52,0.0,Conventional,2015,Albany
31,24-05-2015,1.19,101471.0,680.27,71376.8,58.7,29355.1,28761.8,593.32,0.0,Conventional,2015,Albany
32,17-05-2015,1.43,109857.0,1150.55,81955.2,94.32,26657.4,26285.4,372.01,0.0,Conventional,2015,Albany
33,10-05-2015,1.26,120428.0,1420.43,102001.0,185.66,16821.3,16535.6,285.75,0.0,Conventional,2015,Albany
34,03-05-2015,1.2,59197.7,919.87,45490.1,217.24,12570.5,12202.0,368.56,0.0,Conventional,2015,Albany
35,26-04-2015,1.22,49585.5,875.65,35841.8,89.62,12778.4,12076.8,701.61,0.0,Conventional,2015,Albany
36,19-04-2015,1.19,49064.7,774.15,33941.5,47.15,14301.9,13603.0,698.95,0.0,Conventional,2015,Albany
37,12-04-2015,1.13,48364.3,864.27,30374.2,21.5,17104.4,16438.5,665.88,0.0,Conventional,2015,Albany
38,05-04-2015,1.16,47362.1,961.77,35577.7,93.76,10728.9,9869.16,755.61,104.17,Conventional,2015,Albany
39,29-03-2015,1.02,67799.1,1402.28,58623.2,89.5,7684.08,7208.49,475.59,0.0,Conventional,2015,Albany
40,22-03-2015,1.12,46346.9,2141.83,34313.6,141.8,9749.66,9252.6,497.06,0.0,Conventional,2015,Albany
41,15-03-2015,1.11,43045.8,2128.26,30447.2,99.67,10370.7,9989.59,381.1,0.0,Conventional,2015,Albany
42,08-03-2015,1.07,40507.4,795.68,30370.6,159.05,9181.99,8827.55,354.44,0.0,Conventional,2015,Albany
43,01-03-2015,0.99,55595.7,629.46,45633.3,181.49,9151.45,8986.06,165.39,0.0,Conventional,2015,Albany
44,22-02-2015,1.07,45675.1,1088.38,35056.1,151.0,9379.54,9000.16,379.38,0.0,Conventional,2015,Albany
45,15-02-2015,1.06,41567.6,986.66,30045.5,222.42,10313.0,9979.87,333.16,0.0,Conventional,2015,Albany
46,08-02-2015,0.99,51254.0,1357.37,39111.8,163.25,10621.5,10113.1,508.44,0.0,Conventional,2015,Albany
47,01-02-2015,0.99,70873.6,1353.9,60017.2,179.32,9323.18,9170.82,152.36,0.0,Conventional,2015,Albany
48,25-01-2015,1.06,45147.5,941.38,33196.2,164.14,10845.8,10103.3,742.47,0.0,Conventional,2015,Albany
49,18-01-2015,1.17,44511.3,914.14,31540.3,135.77,11921.0,11651.1,269.96,0.0,Conventional,2015,Albany
50,11-01-2015,1.24,41195.1,1002.85,31640.3,127.12,8424.77,8036.04,388.73,0.0,Conventional,2015,Albany
51,04-01-2015,1.22,40873.3,2819.5,28287.4,49.9,9716.46,9186.93,529.53,0.0,Conventional,2015,Albany
52,27-12-2015,0.99,386100.0,292097.0,27350.9,297.9,66354.3,48605.9,17748.4,0.0,Conventional,2015,Atlanta
53,20-12-2015,1.08,331378.0,251774.0,20702.4,103.06,58797.9,46930.3,11867.6,0.0,Conventional,2015,Atlanta
54,13-12-2015,0.96,417772.0,324932.0,31019.1,275.8,61545.3,38903.6,22628.2,13.53,Conventional,2015,Atlanta
55,06-12-2015,1.07,357637.0,283024.0,23740.8,181.92,50690.0,37032.7,13654.7,2.71,Conventional,2015,Atlanta
56,29-11-2015,0.99,333281.0,250289.0,28889.6,307.83,53794.7,33031.7,20738.6,24.41,Conventional,2015,Atlanta
57,22-11-2015,1.0,356415.0,269799.0,29732.3,501.16,56382.1,36992.3,19389.8,0.0,Conventional,2015,Atlanta
58,15-11-2015,1.13,339861.0,263916.0,28442.4,455.97,47046.5,33656.4,13390.1,0.0,Conventional,2015,Atlanta
59,08-11-2015,1.12,334042.0,250441.0,34483.3,488.24,48628.6,35662.9,12941.1,24.6,Conventional,2015,Atlanta
60,01-11-2015,0.99,419089.0,290458.0,62980.1,252.79,65398.4,39460.8,25929.4,8.22,Conventional,2015,Atlanta
61,25-10-2015,1.09,358478.0,236814.0,64608.0,304.36,56751.5,31826.9,24924.6,0.0,Conventional,2015,Atlanta
62,18-10-2015,1.09,349072.0,228710.0,59731.8,291.22,60339.2,36884.4,23454.8,0.0,Conventional,2015,Atlanta
63,11-10-2015,0.95,433874.0,255933.0,91047.3,599.71,86294.1,41160.0,45134.1,0.0,Conventional,2015,Atlanta
64,04-10-2015,0.96,418682.0,265797.0,92780.3,644.43,59460.4,14875.6,44584.8,0.0,Conventional,2015,Atlanta
65,27-09-2015,1.07,370321.0,262107.0,61870.6,680.8,45662.3,20533.9,25125.7,2.78,Conventional,2015,Atlanta
66,20-09-2015,0.93,516433.0,346118.0,82762.7,1349.41,86202.0,33698.4,52442.2,61.28,Conventional,2015,Atlanta
67,13-09-2015,1.07,417232.0,278048.0,62486.0,714.93,75983.0,46290.3,29678.8,13.94,Conventional,2015,Atlanta
68,06-09-2015,0.97,472137.0,303113.0,73675.9,911.25,94436.2,49833.6,44549.7,52.97,Conventional,2015,Atlanta
69,30-08-2015,1.15,382973.0,275818.0,44839.1,1034.09,61281.2,47138.1,14112.5,30.67,Conventional,2015,Atlanta
70,23-08-2015,1.12,379054.0,274462.0,46223.7,950.09,57418.1,45534.1,11884.0,0.0,Conventional,2015,Atlanta
71,16-08-2015,1.09,465214.0,362580.0,41992.4,1424.96,59216.9,45068.2,14148.7,0.0,Conventional,2015,Atlanta
72,09-08-2015,1.01,503792.0,385028.0,47040.1,4251.74,67472.2,45820.4,21568.5,83.27,Conventional,2015,Atlanta
73,02-08-2015,1.15,405898.0,306588.0,41906.8,3515.48,53888.3,42126.5,11720.3,41.55,Conventional,2015,Atlanta
74,26-07-2015,1.08,437378.0,335372.0,44087.1,708.0,57210.7,45114.2,12096.4,0.0,Conventional,2015,Atlanta
75,19-07-2015,0.97,557213.0,446100.0,47838.4,1982.03,61292.4,45099.9,16192.5,0.0,Conventional,2015,Atlanta
76,12-07-2015,1.14,407205.0,310080.0,37953.2,867.46,58303.9,46023.6,12280.3,0.0,Conventional,2015,Atlanta
77,05-07-2015,1.01,562462.0,436378.0,54675.4,848.55,70560.5,50684.7,19851.0,24.75,Conventional,2015,Atlanta
78,28-06-2015,1.13,435211.0,331353.0,37698.5,816.56,65342.2,52099.8,13108.0,134.4,Conventional,2015,Atlanta
79,21-06-2015,0.99,554764.0,449311.0,30231.8,678.4,74542.1,55484.8,19010.8,46.54,Conventional,2015,Atlanta
80,14-06-2015,1.1,465805.0,386370.0,17701.1,471.72,61261.4,48612.1,12578.3,71.03,Conventional,2015,Atlanta
81,07-06-2015,0.99,551009.0,455566.0,22414.2,738.68,72290.3,50954.8,21330.0,5.45,Conventional,2015,Atlanta
82,31-05-2015,1.1,454702.0,382901.0,19543.2,522.81,51735.0,40505.2,11200.0,29.91,Conventional,2015,Atlanta
83,24-05-2015,0.96,623212.0,538127.0,27284.4,1260.8,56539.9,33867.0,22651.2,21.72,Conventional,2015,Atlanta
84,17-05-2015,1.11,451251.0,386401.0,18618.8,838.68,45392.3,33710.2,11682.1,0.0,Conventional,2015,Atlanta
85,10-05-2015,1.1,480071.0,413453.0,18860.6,1089.33,46668.3,34108.4,12559.8,0.0,Conventional,2015,Atlanta
86,03-05-2015,1.0,634213.0,538404.0,28568.3,1059.73,66181.6,32520.8,33660.8,0.0,Conventional,2015,Atlanta
87,26-04-2015,1.12,448597.0,387677.0,18366.3,1041.78,41511.8,31315.3,10196.5,0.0,Conventional,2015,Atlanta
88,19-04-2015,1.12,430966.0,368710.0,18040.8,873.24,43342.6,29661.7,13680.9,0.0,Conventional,2015,Atlanta
89,12-04-2015,0.99,451102.0,377578.0,22419.9,219.14,50884.3,25833.1,25051.2,0.0,Conventional,2015,Atlanta
90,05-04-2015,1.04,383140.0,318473.0,19254.4,374.51,45037.1,28612.5,16289.9,134.72,Conventional,2015,Atlanta
91,29-03-2015,1.11,365722.0,305029.0,16652.0,261.01,43780.2,29313.9,14466.3,0.0,Conventional,2015,Atlanta
92,22-03-2015,1.0,479591.0,393591.0,23419.6,304.89,62275.1,40495.1,21766.5,13.44,Conventional,2015,Atlanta
93,15-03-2015,1.12,399566.0,336172.0,16508.2,310.7,46575.2,34911.7,11625.9,37.59,Conventional,2015,Atlanta
94,08-03-2015,1.1,420826.0,361559.0,15788.7,236.97,43241.4,33847.3,9394.09,0.0,Conventional,2015,Atlanta
95,01-03-2015,0.99,512532.0,441544.0,21183.7,347.78,49457.0,32180.9,17273.4,2.68,Conventional,2015,Atlanta
96,22-02-2015,1.1,431309.0,369316.0,18324.8,237.47,43430.0,33423.7,10006.3,0.0,Conventional,2015,Atlanta
97,15-02-2015,1.06,427391.0,364447.0,17420.4,638.18,44885.9,26727.7,18158.3,0.0,Conventional,2015,Atlanta
98,08-02-2015,1.03,433884.0,377256.0,17162.5,524.85,38940.2,18044.4,20895.8,0.0,Conventional,2015,Atlanta
99,01-02-2015,0.96,636771.0,553199.0,31583.4,294.94,51694.5,10553.7,41140.8,0.0,Conventional,2015,Atlanta
100,25-01-2015,1.1,449333.0,393408.0,18718.3,594.25,36612.2,13176.4,23435.8,0.0,Conventional,2015,Atlanta
101,18-01-2015,1.11,431491.0,372237.0,18701.9,511.69,40040.5,16782.7,23257.8,0.0,Conventional,2015,Atlanta
102,11-01-2015,1.11,397543.0,330411.0,18958.2,1135.18,47038.1,21309.6,25728.5,0.0,Conventional,2015,Atlanta
103,04-01-2015,1.0,435022.0,364302.0,23821.2,82.15,46815.8,16707.2,30108.6,0.0,Conventional,2015,Atlanta
104,27-12-2015,1.17,596819.0,40450.5,394104.0,17353.8,144911.0,142544.0,2367.22,0.0,Conventional,2015,BaltimoreWashington
105,20-12-2015,1.11,642682.0,44741.4,434591.0,19112.1,144238.0,141752.0,2486.16,0.0,Conventional,2015,BaltimoreWashington
106,13-12-2015,1.15,619509.0,44400.3,399852.0,24291.2,150966.0,149070.0,1895.88,0.0,Conventional,2015,BaltimoreWashington
107,06-12-2015,1.04,649141.0,51129.3,453586.0,25760.5,118665.0,117113.0,1552.2,0.0,Conventional,2015,BaltimoreWashington
108,29-11-2015,1.16,545800.0,41028.1,379156.0,20147.5,105468.0,103616.0,1852.33,0.0,Conventional,2015,BaltimoreWashington
109,22-11-2015,1.12,572020.0,40867.8,386138.0,23343.5,121671.0,119008.0,2663.12,0.0,Conventional,2015,BaltimoreWashington
110,15-11-2015,1.04,718330.0,47109.8,503470.0,37990.3,129760.0,125298.0,4462.69,0.0,Conventional,2015,BaltimoreWashington
111,08-11-2015,1.05,830967.0,58579.3,576513.0,51035.0,144840.0,138778.0,6062.58,0.0,Conventional,2015,BaltimoreWashington
112,01-11-2015,1.12,742221.0,51860.1,473819.0,58615.8,157926.0,152716.0,5209.3,0.0,Conventional,2015,BaltimoreWashington
113,25-10-2015,1.19,656892.0,53766.2,397911.0,49085.7,156129.0,149988.0,6141.14,0.0,Conventional,2015,BaltimoreWashington
114,18-10-2015,0.99,1005600.0,59121.6,745385.0,49171.3,151926.0,146421.0,5504.62,0.0,Conventional,2015,BaltimoreWashington
115,11-10-2015,1.24,653560.0,34707.0,392009.0,58490.1,168354.0,163669.0,4685.41,0.0,Conventional,2015,BaltimoreWashington
116,04-10-2015,1.28,657444.0,35342.3,407610.0,42257.7,172234.0,167495.0,4739.41,0.0,Conventional,2015,BaltimoreWashington
117,27-09-2015,1.19,696282.0,34309.1,451061.0,59018.6,151893.0,146793.0,5100.31,0.0,Conventional,2015,BaltimoreWashington
118,20-09-2015,1.17,709269.0,39619.9,450283.0,45336.1,174030.0,168890.0,5139.84,0.0,Conventional,2015,BaltimoreWashington
119,13-09-2015,1.09,924994.0,55699.2,675524.0,42270.5,151500.0,145686.0,5813.54,0.0,Conventional,2015,BaltimoreWashington
120,06-09-2015,1.18,823623.0,63903.7,522568.0,68180.4,168971.0,165697.0,3268.72,5.54,Conventional,2015,BaltimoreWashington
121,30-08-2015,1.24,734721.0,48455.2,458207.0,42754.3,185304.0,181969.0,3158.9,176.55,Conventional,2015,BaltimoreWashington
122,23-08-2015,1.16,783935.0,59242.0,499100.0,47216.2,178377.0,175047.0,3060.44,269.18,Conventional,2015,BaltimoreWashington
123,16-08-2015,1.14,882755.0,86492.0,597185.0,43102.6,155975.0,153157.0,2796.82,21.9,Conventional,2015,BaltimoreWashington
124,09-08-2015,1.16,821523.0,56362.8,557364.0,42933.9,164863.0,161565.0,3298.08,0.0,Conventional,2015,BaltimoreWashington
125,02-08-2015,1.17,800603.0,53957.6,535167.0,44749.6,166729.0,163668.0,3061.24,0.0,Conventional,2015,BaltimoreWashington
126,26-07-2015,1.2,772926.0,52746.4,496509.0,45010.8,178660.0,174775.0,3880.04,5.41,Conventional,2015,BaltimoreWashington
127,19-07-2015,1.18,800194.0,52954.9,496206.0,50319.8,200713.0,196838.0,3862.02,13.47,Conventional,2015,BaltimoreWashington
128,12-07-2015,1.1,850932.0,58828.0,547537.0,50679.0,193887.0,189236.0,4406.05,244.8,Conventional,2015,BaltimoreWashington
129,05-07-2015,1.16,896299.0,66504.7,567641.0,56044.5,206109.0,200098.0,5890.57,120.33,Conventional,2015,BaltimoreWashington
130,28-06-2015,1.15,862262.0,65051.9,534535.0,51109.9,211565.0,207378.0,4022.51,164.03,Conventional,2015,BaltimoreWashington
131,21-06-2015,1.16,862841.0,58398.8,527866.0,51952.7,224623.0,220904.0,3488.37,230.01,Conventional,2015,BaltimoreWashington
132,14-06-2015,1.09,955047.0,64005.1,593500.0,48344.9,249197.0,244982.0,3668.3,546.62,Conventional,2015,BaltimoreWashington
133,07-06-2015,1.26,794310.0,62585.4,462951.0,43720.9,225053.0,221166.0,3626.41,260.58,Conventional,2015,BaltimoreWashington
134,31-05-2015,1.19,949177.0,67744.8,617814.0,45832.8,217786.0,211787.0,5730.22,268.04,Conventional,2015,BaltimoreWashington
135,24-05-2015,1.18,908662.0,63610.1,560740.0,49808.5,234503.0,228843.0,5548.94,111.28,Conventional,2015,BaltimoreWashington
136,17-05-2015,1.27,790854.0,63515.1,455167.0,44841.0,227331.0,222163.0,5152.19,15.88,Conventional,2015,BaltimoreWashington
137,10-05-2015,1.26,855206.0,79192.1,507104.0,44390.5,224519.0,215572.0,8947.03,0.0,Conventional,2015,BaltimoreWashington
138,03-05-2015,1.17,896972.0,73038.5,536710.0,77537.4,209686.0,201874.0,7767.45,44.44,Conventional,2015,BaltimoreWashington
139,26-04-2015,1.29,747841.0,58013.9,431533.0,39942.6,218352.0,212065.0,6184.29,102.78,Conventional,2015,BaltimoreWashington
140,19-04-2015,1.28,762863.0,67486.8,427623.0,42125.3,225627.0,219886.0,5741.41,0.0,Conventional,2015,BaltimoreWashington
141,12-04-2015,1.15,837630.0,70796.7,523170.0,42270.8,201392.0,196076.0,5315.67,0.0,Conventional,2015,BaltimoreWashington
142,05-04-2015,1.29,688065.0,53579.2,401279.0,41867.1,191340.0,184109.0,6357.06,873.61,Conventional,2015,BaltimoreWashington
143,29-03-2015,1.25,663677.0,58098.1,398051.0,43759.7,163769.0,158964.0,4804.54,0.0,Conventional,2015,BaltimoreWashington
144,22-03-2015,1.1,808897.0,65159.0,524971.0,42381.4,176386.0,171700.0,4685.67,0.0,Conventional,2015,BaltimoreWashington
145,15-03-2015,1.24,693698.0,53400.1,395837.0,46596.2,197865.0,193131.0,4733.86,0.0,Conventional,2015,BaltimoreWashington
146,08-03-2015,1.26,657746.0,55284.8,367671.0,42267.9,192522.0,188374.0,4147.77,0.0,Conventional,2015,BaltimoreWashington
147,01-03-2015,1.16,770115.0,59039.9,498873.0,40241.6,171961.0,168224.0,3736.87,0.0,Conventional,2015,BaltimoreWashington
148,22-02-2015,1.11,749846.0,50501.1,445971.0,62611.6,190763.0,186977.0,3785.58,0.0,Conventional,2015,BaltimoreWashington
149,15-02-2015,1.25,637319.0,49751.7,361677.0,45900.1,179990.0,174865.0,5125.31,0.0,Conventional,2015,BaltimoreWashington
150,08-02-2015,1.09,844931.0,71703.5,554857.0,37437.3,180933.0,175771.0,5161.57,0.0,Conventional,2015,BaltimoreWashington
151,01-02-2015,1.06,1007420.0,93166.5,666010.0,83652.5,164589.0,159917.0,4672.49,0.0,Conventional,2015,BaltimoreWashington
152,25-01-2015,1.2,692934.0,49696.1,386399.0,39488.9,217351.0,209762.0,7588.83,0.0,Conventional,2015,BaltimoreWashington
153,18-01-2015,1.23,657741.0,49947.2,393360.0,40576.1,173858.0,169391.0,4467.62,0.0,Conventional,2015,BaltimoreWashington
154,11-01-2015,1.17,670232.0,51460.6,420838.0,42527.0,155407.0,151331.0,4075.65,0.0,Conventional,2015,BaltimoreWashington
155,04-01-2015,1.08,788025.0,53987.3,552906.0,39995.0,141137.0,137146.0,3990.61,0.0,Conventional,2015,BaltimoreWashington
156,27-12-2015,0.97,62909.7,30482.2,2971.94,5894.4,23561.1,23520.2,5.69,35.22,Conventional,2015,Boise
157,20-12-2015,1.03,57504.1,25628.2,2546.09,7393.84,21935.9,21900.3,11.43,24.12,Conventional,2015,Boise
158,13-12-2015,0.99,58461.1,27148.6,2985.73,6458.44,21868.3,21842.9,4.44,20.96,Conventional,2015,Boise
159,06-12-2015,0.71,95295.3,35591.0,12526.5,4086.26,43091.6,42734.5,0.0,357.07,Conventional,2015,Boise
160,29-11-2015,1.06,49069.1,24190.0,2789.67,6031.49,16058.0,15860.6,0.0,197.36,Conventional,2015,Boise
161,22-11-2015,1.09,52875.6,25408.9,3255.97,6662.8,17547.9,17530.7,4.32,12.96,Conventional,2015,Boise
162,15-11-2015,1.01,68648.2,24424.7,12085.7,6502.37,25635.4,25200.2,8.65,426.51,Conventional,2015,Boise
163,08-11-2015,1.11,55847.8,31910.3,4651.88,6285.73,12999.9,12777.8,119.79,102.29,Conventional,2015,Boise
164,01-11-2015,1.14,53585.5,30435.0,4359.52,6428.27,12362.7,12331.8,0.0,30.91,Conventional,2015,Boise
165,25-10-2015,1.11,59874.4,29521.6,10089.8,6551.57,13711.5,13661.0,0.0,50.5,Conventional,2015,Boise
166,18-10-2015,1.16,54191.1,29614.2,9069.38,6586.27,8921.26,8918.0,0.0,3.26,Conventional,2015,Boise
167,11-10-2015,0.94,80904.2,26114.2,33415.9,7604.48,13769.6,13543.5,185.46,40.71,Conventional,2015,Boise
168,04-10-2015,1.12,59496.3,35154.4,10821.8,7551.63,5968.42,5462.15,504.65,1.62,Conventional,2015,Boise
169,27-09-2015,0.99,64187.8,47007.4,5754.04,3663.3,7763.11,7596.64,160.0,6.47,Conventional,2015,Boise
170,20-09-2015,1.03,73952.9,34826.9,21592.1,6640.07,10893.8,10601.0,273.41,19.37,Conventional,2015,Boise
171,13-09-2015,1.08,64208.8,45738.8,4393.9,6593.46,7482.65,7482.65,0.0,0.0,Conventional,2015,Boise
172,06-09-2015,1.16,64464.6,44134.6,5402.17,7991.75,6936.04,6934.43,0.0,1.61,Conventional,2015,Boise
173,30-08-2015,1.19,60099.8,40926.8,5809.92,7922.58,5440.56,5440.56,0.0,0.0,Conventional,2015,Boise
174,23-08-2015,1.05,70773.8,44059.2,14861.3,4433.12,7420.09,7420.09,0.0,0.0,Conventional,2015,Boise
175,16-08-2015,1.12,64001.6,46189.3,5258.21,6457.21,6096.91,6090.51,0.0,6.4,Conventional,2015,Boise
176,09-08-2015,1.1,61287.0,44739.5,5034.0,3931.19,7582.25,7568.92,13.33,0.0,Conventional,2015,Boise
177,02-08-2015,1.07,67763.9,51151.3,5140.89,5435.36,6036.39,5987.5,48.89,0.0,Conventional,2015,Boise
178,26-07-2015,1.07,67826.1,50978.4,4856.27,5479.57,6511.85,6358.04,153.81,0.0,Conventional,2015,Boise
179,19-07-2015,1.09,63958.0,45921.6,5300.3,5565.17,7170.97,6354.45,816.52,0.0,Conventional,2015,Boise
180,12-07-2015,1.05,74677.7,51828.8,5802.65,7474.4,9571.92,8335.04,1236.88,0.0,Conventional,2015,Boise
181,05-07-2015,1.15,85044.5,61949.7,8022.13,8434.98,6637.61,6557.06,80.55,0.0,Conventional,2015,Boise
182,28-06-2015,1.04,75280.4,59111.3,6573.26,3974.75,5621.07,5619.44,0.0,1.63,Conventional,2015,Boise
183,21-06-2015,1.06,81397.1,52790.2,15444.7,5875.85,7286.27,7021.56,0.0,264.71,Conventional,2015,Boise
184,14-06-2015,0.99,87607.7,58791.2,17880.4,3135.99,7800.04,7800.04,0.0,0.0,Conventional,2015,Boise
185,07-06-2015,1.12,80751.3,61245.5,7237.55,6655.69,5612.56,5603.8,8.76,0.0,Conventional,2015,Boise
186,31-05-2015,0.97,76689.4,57373.6,7421.36,4028.3,7866.15,7860.31,5.84,0.0,Conventional,2015,Boise
187,24-05-2015,1.03,83209.8,54825.9,14839.3,6037.23,7507.26,7469.51,0.0,37.75,Conventional,2015,Boise
188,17-05-2015,0.96,77987.5,61319.7,7393.99,2919.87,6354.01,6345.82,0.0,8.19,Conventional,2015,Boise
189,10-05-2015,1.06,95788.5,62505.3,15896.5,7891.16,9495.53,9453.06,0.0,42.47,Conventional,2015,Boise
190,03-05-2015,1.0,85467.0,66880.1,7942.34,4289.72,6354.81,6349.93,0.0,4.88,Conventional,2015,Boise
191,26-04-2015,0.96,88111.2,69544.6,7985.48,3401.65,7179.45,7174.6,0.0,4.85,Conventional,2015,Boise
192,19-04-2015,0.99,89695.0,56843.6,21630.9,3260.22,7960.22,7953.8,0.0,6.42,Conventional,2015,Boise
193,12-04-2015,1.19,66246.3,44469.1,8506.36,7523.01,5747.78,5747.78,0.0,0.0,Conventional,2015,Boise
194,05-04-2015,1.09,76704.5,57339.8,9060.49,3790.38,6513.78,6510.61,0.0,3.17,Conventional,2015,Boise
195,29-03-2015,0.98,74544.0,59532.9,7119.52,3101.98,4789.54,4789.54,0.0,0.0,Conventional,2015,Boise
196,22-03-2015,1.17,61419.1,44227.3,6589.77,7290.24,3311.77,3311.77,0.0,0.0,Conventional,2015,Boise
197,15-03-2015,1.0,65918.3,51472.3,7018.29,2981.8,4445.9,4445.9,0.0,0.0,Conventional,2015,Boise
198,08-03-2015,1.14,65350.2,45879.8,7206.22,7403.75,4860.43,4860.43,0.0,0.0,Conventional,2015,Boise
199,01-03-2015,1.06,75046.4,40578.0,23738.6,3491.83,7237.98,6478.75,759.23,0.0,Conventional,2015,Boise
200,22-02-2015,0.99,76836.1,50872.0,16374.7,2122.09,7467.27,7235.2,232.07,0.0,Conventional,2015,Boise
201,15-02-2015,1.14,61222.0,41547.9,7840.31,6492.94,5340.86,3647.52,1693.34,0.0,Conventional,2015,Boise
202,08-02-2015,1.07,69970.8,54229.3,9647.24,3047.0,3047.17,1373.42,1673.75,0.0,Conventional,2015,Boise
203,01-02-2015,0.91,113578.0,67496.3,36532.3,2904.77,6644.84,4867.26,1777.58,0.0,Conventional,2015,Boise
204,25-01-2015,1.03,66069.2,51922.1,7555.95,2061.16,4530.04,2009.53,2520.51,0.0,Conventional,2015,Boise
205,18-01-2015,1.08,62870.5,50354.9,6342.37,2257.23,3915.94,1119.18,2796.76,0.0,Conventional,2015,Boise
206,11-01-2015,1.18,57355.5,38112.3,10997.5,3321.89,4923.75,3295.11,1628.64,0.0,Conventional,2015,Boise
207,04-01-2015,1.01,80034.3,44562.1,24964.2,2752.35,7755.62,6064.3,1691.32,0.0,Conventional,2015,Boise
208,27-12-2015,1.13,450816.0,3886.27,346965.0,13952.6,86012.9,85913.6,99.26,0.0,Conventional,2015,Boston
209,20-12-2015,1.07,489803.0,4912.37,390101.0,5887.72,88901.8,88768.5,133.33,0.0,Conventional,2015,Boston
210,13-12-2015,1.01,549946.0,4641.02,455362.0,219.4,89723.0,89523.4,199.58,0.0,Conventional,2015,Boston
211,06-12-2015,1.02,488679.0,5126.32,407520.0,142.99,75889.8,75666.2,223.56,0.0,Conventional,2015,Boston
212,29-11-2015,1.19,350560.0,3609.25,272719.0,105.86,74125.6,73864.5,261.1,0.0,Conventional,2015,Boston
